Lat,Long,Geoid2016,BLF55,BLF55_NZVD2016
-47.46666667,166.8666667,2.319,0.2788,-2.0402
-47.46666667,166.9,2.157,0.2788,-1.8782
-47.46666667,166.9333333,1.992,0.2788,-1.7132
-47.46666667,166.9666667,1.84,0.2788,-1.5612
-47.46666667,167,1.698,0.2788,-1.4192
-47.46666667,167.0333333,1.564,0.2788,-1.2852
-47.46666667,167.0666667,1.456,0.2788,-1.1772
-47.46666667,167.1,1.345,0.2788,-1.0662
-47.46666667,167.1333333,1.256,0.2788,-0.9772
-47.46666667,167.1666667,1.168,0.2788,-0.8892
-47.46666667,167.2,1.094,0.2788,-0.8152
-47.46666667,167.2333333,1.031,0.2788,-0.7522
-47.46666667,167.2666667,0.974,0.2788,-0.6952
-47.46666667,167.3,0.921,0.2787,-0.6423
-47.46666667,167.3333333,0.87,0.2787,-0.5913
-47.46666667,167.3666667,0.821,0.2787,-0.5423
-47.46666667,167.4,0.775,0.2787,-0.4963
-47.46666667,167.4333333,0.734,0.2786,-0.4554
-47.46666667,167.4666667,0.699,0.2786,-0.4204
-47.46666667,167.5,0.671,0.2785,-0.3925
