Lat,Long,Geoid2016,DBL60,BDL60_NZVD2016
-47.36666667,170.6,3.069,0.2537,-2.8153
-47.36666667,170.6333333,3.095,0.2537,-2.8413
-47.36666667,170.6666667,3.119,0.2537,-2.8653
-47.36666667,170.7,3.14,0.2537,-2.8863
-47.36666667,170.7333333,3.16,0.2537,-2.9063
-47.36666667,170.7666667,3.179,0.2537,-2.9253
-47.36666667,170.8,3.197,0.2537,-2.9433
-47.36666667,170.8333333,3.213,0.2537,-2.9593
-47.36666667,170.8666667,3.227,0.2537,-2.9733
-47.36666667,170.9,3.24,0.2537,-2.9863
-47.36666667,170.9333333,3.249,0.2537,-2.9953
-47.36666667,170.9666667,3.257,0.2537,-3.0033
-47.36666667,171,3.264,0.2537,-3.0103
-47.36666667,171.0333333,3.268,0.2537,-3.0143
-47.36666667,171.0666667,3.272,0.2537,-3.0183
-47.36666667,171.1,3.272,0.2537,-3.0183
-47.36666667,171.1333333,3.271,0.2537,-3.0173
-47.36666667,171.1666667,3.265,0.2537,-3.0113
-47.33333333,166.3333333,4.381,0.2537,-4.1273
-47.33333333,166.3666667,4.257,0.2537,-4.0033
-47.33333333,166.4,4.12,0.2537,-3.8663
-47.33333333,166.4333333,3.972,0.2537,-3.7183
-47.33333333,166.4666667,3.816,0.2537,-3.5623
-47.33333333,166.5,3.659,0.2537,-3.4053
-47.33333333,166.5333333,3.511,0.2537,-3.2573
-47.33333333,166.5666667,3.377,0.2537,-3.1233
-47.33333333,166.6,3.254,0.2537,-3.0003
-47.33333333,166.6333333,3.141,0.2537,-2.8873
-47.33333333,166.6666667,3.032,0.2537,-2.7783
-47.33333333,166.7,2.918,0.2537,-2.6643
-47.33333333,166.7333333,2.796,0.2537,-2.5423
-47.33333333,166.7666667,2.662,0.2537,-2.4083
-47.33333333,166.8,2.516,0.2537,-2.2623
-47.33333333,166.8333333,2.359,0.2537,-2.1053
-47.33333333,166.8666667,2.188,0.2537,-1.9343
-47.33333333,166.9,2.005,0.2405,-1.7645
-47.33333333,166.9333333,1.812,0.2405,-1.5715
-47.33333333,166.9666667,1.609,0.2405,-1.3685
-47.33333333,167,1.4,0.2406,-1.1594
-47.33333333,167.0333333,1.197,0.2407,-0.9563
-47.33333333,167.0666667,1.012,0.2408,-0.7712
-47.33333333,167.1,0.851,0.2409,-0.6101
-47.33333333,167.1333333,0.716,0.2411,-0.4749
-47.33333333,167.1666667,0.608,0.2413,-0.3667
-47.33333333,167.2,0.525,0.2415,-0.2835
-47.33333333,167.2333333,0.454,0.2418,-0.2122
-47.33333333,167.2666667,0.389,0.242,-0.147
-47.33333333,167.3,0.326,0.2423,-0.0837
-47.33333333,167.3333333,0.264,0.2426,-0.0214
-47.33333333,167.3666667,0.205,0.2429,0.0379
-47.33333333,167.4,0.151,0.2433,0.0923
-47.33333333,167.4333333,0.106,0.2436,0.1376
-47.33333333,167.4666667,0.071,0.244,0.173
-47.33333333,167.5,0.049,0.2444,0.1954
-47.33333333,167.5333333,0.042,0.2448,0.2028
-47.33333333,167.5666667,0.042,0.2453,0.2033
-47.33333333,167.6,0.044,0.2458,0.2018
-47.33333333,167.6333333,0.045,0.2462,0.2012
-47.33333333,167.6666667,0.04,0.2467,0.2067
-47.33333333,167.7,0.031,0.2473,0.2163
-47.33333333,167.7333333,0.021,0.2478,0.2268
-47.33333333,167.7666667,0.014,0.2484,0.2344
-47.33333333,167.8,0.01,0.2489,0.2389
-47.33333333,167.8333333,0.013,0.2495,0.2365
-47.33333333,167.8666667,0.025,0.2501,0.2251
-47.33333333,167.9,0.04,0.2508,0.2108
-47.33333333,167.9333333,0.059,0.2514,0.1924
-47.33333333,167.9666667,0.079,0.252,0.173
-47.33333333,168,0.103,0.2527,0.1497
-47.33333333,168.0333333,0.126,0.2534,0.1274
-47.33333333,168.0666667,0.152,0.2541,0.1021
-47.33333333,168.1,0.18,0.2548,0.0748
-47.33333333,168.1333333,0.211,0.2555,0.0445
-47.33333333,168.1666667,0.245,0.2562,0.0112
-47.33333333,168.2,0.281,0.257,-0.024
-47.33333333,168.2333333,0.32,0.2577,-0.0623
-47.33333333,168.2666667,0.358,0.2585,-0.0995
-47.33333333,168.3,0.396,0.2593,-0.1367
-47.33333333,168.3333333,0.434,0.26,-0.174
