Lat,Long,Geoid2016,GSB26,GSB26_NZVD2016
-39.83333333,176.2666667,-18.257,0.3434,18.6004
-39.83333333,176.3,-18.175,0.3434,18.5184
-39.83333333,176.3333333,-18.123,0.3434,18.4664
-39.83333333,176.3666667,-18.091,0.3434,18.4344
-39.83333333,176.4,-18.081,0.3536,18.4346
-39.83333333,176.4333333,-18.086,0.3536,18.4396
-39.83333333,176.4666667,-18.116,0.3536,18.4696
-39.83333333,176.5,-18.174,0.3536,18.5276
-39.83333333,176.5333333,-18.264,0.3536,18.6176
-39.83333333,176.5666667,-18.347,0.3536,18.7006
-39.83333333,176.6,-18.417,0.3536,18.7706
-39.83333333,176.6333333,-18.455,0.3536,18.8086
-39.83333333,176.6666667,-18.518,0.3536,18.8716
-39.83333333,176.7,-18.591,0.3535,18.9445
-39.83333333,176.7333333,-18.676,0.3535,19.0295
-39.83333333,176.7666667,-18.793,0.3535,19.1465
-39.83333333,176.8,-18.908,0.3535,19.2615
-39.83333333,176.8333333,-19.032,0.3535,19.3855
-39.83333333,176.8666667,-19.159,0.3535,19.5125
-39.83333333,176.9,-19.262,0.3535,19.6155
-39.83333333,176.9333333,-19.299,0.3535,19.6525
-39.83333333,176.9666667,-19.299,0.3534,19.6524
-39.83333333,177,-19.306,0.3534,19.6594
-39.83333333,177.0333333,-19.322,0.3534,19.6754
-39.83333333,177.0666667,-19.343,0.3534,19.6964
-39.83333333,177.1,-19.363,0.3534,19.7164
-39.83333333,177.1333333,-19.381,0.3533,19.7343
-39.83333333,177.1666667,-19.398,0.3533,19.7513
-39.83333333,177.2,-19.418,0.3533,19.7713
-39.83333333,177.2333333,-19.443,0.3533,19.7963
-39.83333333,177.2666667,-19.47,0.3532,19.8232
-39.83333333,177.3,-19.501,0.3532,19.8542
-39.83333333,177.3333333,-19.533,0.3532,19.8862
-39.83333333,177.3666667,-19.564,0.3531,19.9171
-39.83333333,177.4,-19.593,0.3531,19.9461
-39.83333333,177.4333333,-19.62,0.353,19.973
-39.83333333,177.4666667,-19.643,0.3529,19.9959
-39.83333333,177.5,-19.661,0.3529,20.0139
-39.83333333,177.5333333,-19.671,0.3528,20.0238
-39.83333333,177.5666667,-19.679,0.3527,20.0317
-39.83333333,177.6,-19.687,0.3526,20.0396
-39.83333333,177.6333333,-19.697,0.3526,20.0496
-39.83333333,177.6666667,-19.712,0.3524,20.0644
-39.83333333,177.7,-19.731,0.3523,20.0833
-39.83333333,177.7333333,-19.755,0.3522,20.1072
-39.83333333,177.7666667,-19.784,0.3521,20.1361
-39.83333333,177.8,-19.82,0.3519,20.1719
-39.83333333,177.8333333,-19.863,0.3518,20.2148
-39.83333333,177.8666667,-19.916,0.3516,20.2676
-39.83333333,177.9,-19.973,0.3515,20.3245
-39.83333333,177.9333333,-20.032,0.3513,20.3833
-39.83333333,177.9666667,-20.093,0.3511,20.4441
-39.83333333,178,-20.154,0.3509,20.5049
-39.83333333,178.0333333,-20.215,0.3507,20.5657
-39.83333333,178.0666667,-20.276,0.3505,20.6265
-39.83333333,178.1,-20.337,0.3502,20.6872
-39.83333333,178.1333333,-20.397,0.35,20.747
-39.83333333,178.1666667,-20.453,0.3498,20.8028
-39.83333333,178.2,-20.491,0.3495,20.8405
-39.83333333,178.2333333,-20.508,0.3493,20.8573
-39.83333333,178.2666667,-20.497,0.349,20.846
-39.83333333,178.3,-20.458,0.3488,20.8068
-39.83333333,178.3333333,-20.392,0.3485,20.7405
-39.83333333,178.3666667,-20.293,0.3482,20.6412
-39.83333333,178.4,-20.17,0.348,20.518
-39.83333333,178.4333333,-20.027,0.3477,20.3747
-39.83333333,178.4666667,-19.87,0.3475,20.2175
-39.83333333,178.5,-19.706,0.3472,20.0532
-39.83333333,178.5333333,-19.554,0.3469,19.9009
-39.83333333,178.5666667,-19.42,0.3467,19.7667
-39.83333333,178.6,-19.304,0.3464,19.6504
-39.83333333,178.6333333,-19.209,0.3461,19.5551
-39.83333333,178.6666667,-19.135,0.3459,19.4809
-39.83333333,178.7,-19.087,0.3456,19.4326
-39.83333333,178.7333333,-19.06,0.3454,19.4054
-39.83333333,178.7666667,-19.052,0.3452,19.3972
-39.83333333,178.8,-19.059,0.3449,19.4039
-39.83333333,178.8333333,-19.077,0.3447,19.4217
-39.83333333,178.8666667,-19.111,0.3445,19.4555
-39.83333333,178.9,-19.154,0.3443,19.4983
-39.83333333,178.9333333,-19.207,0.3441,19.5511
-39.83333333,178.9666667,-19.27,0.3439,19.6139
-39.83333333,179,-19.342,0.3437,19.6857
-39.83333333,179.0333333,-19.427,0.3435,19.7705
-39.83333333,179.0666667,-19.521,0.3433,19.8643
-39.83333333,179.1,-19.622,0.3432,19.9652
-39.83333333,179.1333333,-19.729,0.343,20.072
-39.83333333,179.1666667,-19.839,0.3429,20.1819
-39.83333333,179.2,-19.945,0.3428,20.2878
-39.83333333,179.2333333,-20.047,0.3427,20.3897
-39.83333333,179.2666667,-20.139,0.3426,20.4816
-39.83333333,179.3,-20.222,0.3425,20.5645
-39.83333333,179.3333333,-20.298,0.3424,20.6404
-39.83333333,179.3666667,-20.362,0.3434,20.7054
-39.83333333,179.4,-20.417,0.3434,20.7604
-39.83333333,179.4333333,-20.46,0.3434,20.8034
-39.83333333,179.4666667,-20.493,0.3434,20.8364
-39.83333333,179.5,-20.519,0.3434,20.8624
-39.83333333,179.5333333,-20.544,0.3434,20.8874
-39.83333333,179.5666667,-20.572,0.3434,20.9154
-39.83333333,179.6,-20.604,0.3434,20.9474
-39.83333333,179.6333333,-20.64,0.3434,20.9834
-39.83333333,179.6666667,-20.675,0.3434,21.0184
-39.83333333,179.7,-20.711,0.3434,21.0544
-39.83333333,179.7333333,-20.743,0.3434,21.0864
-39.83333333,179.7666667,-20.775,0.3434,21.1184
-39.83333333,179.8,-20.805,0.3434,21.1484
-39.83333333,179.8333333,-20.833,0.3434,21.1764
-39.8,175.6666667,-16.534,0.3434,16.8774
-39.8,175.7,-16.652,0.3434,16.9954
-39.8,175.7333333,-16.771,0.3434,17.1144
-39.8,175.7666667,-16.91,0.3434,17.2534
-39.8,175.8,-17.024,0.3434,17.3674
-39.8,175.8333333,-17.185,0.3434,17.5284
-39.8,175.8666667,-17.339,0.3434,17.6824
-39.8,175.9,-17.526,0.3434,17.8694
-39.8,175.9333333,-17.696,0.3434,18.0394
-39.8,175.9666667,-17.926,0.3434,18.2694
-39.8,176,-18.143,0.3434,18.4864
-39.8,176.0333333,-18.413,0.3434,18.7564
-39.8,176.0666667,-18.713,0.3434,19.0564
-39.8,176.1,-18.919,0.3434,19.2624
