Lat,Long,Geoid2016,MOT53,MOT53_NZVD2016
-41.53333333,174.6,-11.479,0.284,11.763
-41.53333333,174.6333333,-11.554,0.2838,11.8378
-41.53333333,174.6666667,-11.641,0.2835,11.9245
-41.53333333,174.7,-11.736,0.2832,12.0192
-41.53333333,174.7333333,-11.832,0.2829,12.1149
-41.53333333,174.7666667,-11.92,0.2826,12.2026
-41.53333333,174.8,-12.013,0.2823,12.2953
-41.53333333,174.8333333,-12.092,0.282,12.374
-41.53333333,174.8666667,-12.178,0.2817,12.4597
-41.53333333,174.9,-12.272,0.2814,12.5534
-41.53333333,174.9333333,-12.391,0.2811,12.6721
-41.53333333,174.9666667,-12.533,0.2808,12.8138
-41.53333333,175,-12.704,0.2805,12.9845
-41.53333333,175.0333333,-12.907,0.2802,13.1872
-41.53333333,175.0666667,-13.116,0.2799,13.3959
-41.53333333,175.1,-13.332,0.2796,13.6116
-41.53333333,175.1333333,-13.546,0.2793,13.8253
-41.53333333,175.1666667,-13.76,0.279,14.039
-41.53333333,175.2,-13.975,0.2787,14.2537
-41.53333333,175.2333333,-14.207,0.2784,14.4854
-41.53333333,175.2666667,-14.401,0.2781,14.6791
-41.53333333,175.3,-14.56,0.2779,14.8379
-41.53333333,175.3333333,-14.67,0.2776,14.9476
-41.53333333,175.3666667,-14.639,0.2774,14.9164
-41.53333333,175.4,-14.609,0.2771,14.8861
-41.53333333,175.4333333,-14.585,0.2769,14.8619
-41.53333333,175.4666667,-14.556,0.2767,14.8327
-41.53333333,175.5,-14.477,0.2765,14.7535
-41.53333333,175.5333333,-14.418,0.2763,14.6943
-41.53333333,175.5666667,-14.349,0.2761,14.6251
-41.53333333,175.6,-14.272,0.276,14.548
-41.53333333,175.6333333,-14.184,0.2758,14.4598
-41.53333333,175.6666667,-14.092,0.2757,14.3677
-41.53333333,175.7,-14.005,0.2756,14.2806
-41.53333333,175.7333333,-13.93,0.2755,14.2055
-41.53333333,175.7666667,-13.868,0.2754,14.1434
-41.53333333,175.8,-13.811,0.2753,14.0863
-41.53333333,175.8333333,-13.754,0.2752,14.0292
-41.53333333,175.8666667,-13.699,0.2751,13.9741
-41.53333333,175.9,-13.641,0.2751,13.9161
-41.53333333,175.9333333,-13.594,0.275,13.869
-41.53333333,175.9666667,-13.559,0.275,13.834
-41.53333333,176,-13.535,0.275,13.81
-41.53333333,176.0333333,-13.516,0.275,13.791
-41.53333333,176.0666667,-13.49,0.2749,13.7649
-41.53333333,176.1,-13.459,0.2749,13.7339
-41.53333333,176.1333333,-13.422,0.275,13.697
-41.53333333,176.1666667,-13.39,0.275,13.665
-41.53333333,176.2,-13.364,0.275,13.639
-41.53333333,176.2333333,-13.338,0.275,13.613
-41.53333333,176.2666667,-13.325,0.2751,13.6001
-41.53333333,176.3,-13.314,0.2751,13.5891
-41.53333333,176.3333333,-13.307,0.2751,13.5821
-41.53333333,176.3666667,-13.308,0.2752,13.5832
-41.53333333,176.4,-13.319,0.2752,13.5942
-41.53333333,176.4333333,-13.331,0.2753,13.6063
-41.53333333,176.4666667,-13.35,0.2753,13.6253
-41.53333333,176.5,-13.367,0.2754,13.6424
-41.53333333,176.5333333,-13.376,0.2754,13.6514
-41.53333333,176.5666667,-13.371,0.2755,13.6465
-41.53333333,176.6,-13.353,0.2755,13.6285
-41.53333333,176.6333333,-13.323,0.2756,13.5986
-41.53333333,176.6666667,-13.286,0.2756,13.5616
-41.53333333,176.7,-13.251,0.2756,13.5266
-41.53333333,176.7333333,-13.221,0.2757,13.4967
-41.53333333,176.7666667,-13.201,0.2757,13.4767
-41.53333333,176.8,-13.194,0.2757,13.4697
-41.53333333,176.8333333,-13.193,0.2758,13.4688
-41.53333333,176.8666667,-13.197,0.2758,13.4728
-41.53333333,176.9,-13.207,0.2758,13.4828
-41.53333333,176.9333333,-13.215,0.3093,13.5243
-41.53333333,176.9666667,-13.229,0.3093,13.5383
-41.53333333,177,-13.245,0.3093,13.5543
-41.53333333,177.0333333,-13.267,0.3093,13.5763
-41.53333333,177.0666667,-13.29,0.3093,13.5993
-41.53333333,177.1,-13.321,0.3093,13.6303
-41.53333333,177.1333333,-13.349,0.3093,13.6583
-41.53333333,177.1666667,-13.384,0.3093,13.6933
-41.53333333,177.2,-13.418,0.3093,13.7273
-41.53333333,177.2333333,-13.451,0.3093,13.7603
-41.53333333,177.2666667,-13.483,0.3093,13.7923
-41.53333333,177.3,-13.519,0.3093,13.8283
-41.53333333,177.3333333,-13.56,0.3093,13.8693
-41.53333333,177.3666667,-13.604,0.3093,13.9133
-41.53333333,177.4,-13.645,0.3093,13.9543
-41.53333333,177.4333333,-13.691,0.3093,14.0003
-41.53333333,177.4666667,-13.736,0.3093,14.0453
-41.53333333,177.5,-13.78,0.3093,14.0893
-41.53333333,177.5333333,-13.827,0.3093,14.1363
-41.53333333,177.5666667,-13.871,0.3093,14.1803
-41.53333333,177.6,-13.915,0.3093,14.2243
-41.53333333,177.6333333,-13.959,0.3093,14.2683
-41.53333333,177.6666667,-14.007,0.3093,14.3163
-41.53333333,177.7,-14.056,0.3093,14.3653
-41.53333333,177.7333333,-14.107,0.3093,14.4163
-41.53333333,177.7666667,-14.157,0.3093,14.4663
-41.53333333,177.8,-14.209,0.3093,14.5183
-41.53333333,177.8333333,-14.265,0.3093,14.5743
-41.53333333,177.8666667,-14.325,0.3093,14.6343
-41.53333333,177.9,-14.391,0.3093,14.7003
-41.53333333,177.9333333,-14.461,0.3093,14.7703
-41.53333333,177.9666667,-14.537,0.3093,14.8463
-41.53333333,178,-14.619,0.3093,14.9283
-41.53333333,178.0333333,-14.705,0.3093,15.0143
-41.53333333,178.0666667,-14.792,0.3093,15.1013
-41.53333333,178.1,-14.88,0.3093,15.1893
-41.53333333,178.1333333,-14.967,0.3093,15.2763
-41.53333333,178.1666667,-15.053,0.3093,15.3623
-41.53333333,178.2,-15.139,0.3093,15.4483
-41.53333333,178.2333333,-15.226,0.3093,15.5353
-41.53333333,178.2666667,-15.317,0.3093,15.6263
-41.53333333,178.3,-15.412,0.3093,15.7213
