Lat,Long,Geoid2016,NSN55,NSN55_NZVD16
-43.5,174.3666667,-11.761,0.3285,12.0895
-43.5,174.4,-11.822,0.3285,12.1505
-43.5,174.4333333,-11.885,0.3285,12.2135
-43.5,174.4666667,-11.951,0.3285,12.2795
-43.5,174.5,-12.018,0.3285,12.3465
-43.5,174.5333333,-12.091,0.3285,12.4195
-43.5,174.5666667,-12.167,0.3285,12.4955
-43.5,174.6,-12.246,0.3285,12.5745
-43.5,174.6333333,-12.328,0.3285,12.6565
-43.5,174.6666667,-12.41,0.3285,12.7385
-43.5,174.7,-12.491,0.3285,12.8195
-43.5,174.7333333,-12.573,0.3285,12.9015
-43.5,174.7666667,-12.655,0.3285,12.9835
-43.5,174.8,-12.735,0.3285,13.0635
-43.5,174.8333333,-12.817,0.3285,13.1455
-43.5,174.8666667,-12.898,0.3285,13.2265
-43.5,174.9,-12.981,0.3285,13.3095
-43.5,174.9333333,-13.067,0.3285,13.3955
-43.5,174.9666667,-13.154,0.3285,13.4825
-43.5,175,-13.24,0.3285,13.5685
-43.5,175.0333333,-13.325,0.3285,13.6535
-43.5,175.0666667,-13.404,0.3285,13.7325
-43.5,175.1,-13.476,0.3285,13.8045
-43.5,175.1333333,-13.541,0.3285,13.8695
-43.5,175.1666667,-13.596,0.3285,13.9245
-43.5,175.2,-13.639,0.3285,13.9675
-43.5,175.2333333,-13.675,0.3285,14.0035
-43.5,175.2666667,-13.703,0.3285,14.0315
-43.5,175.3,-13.727,0.3285,14.0555
-43.5,175.3333333,-13.746,0.3285,14.0745
-43.5,175.3666667,-13.759,0.3285,14.0875
-43.5,175.4,-13.765,0.3285,14.0935
-43.5,175.4333333,-13.765,0.3285,14.0935
-43.5,175.4666667,-13.756,0.3285,14.0845
-43.5,175.5,-13.745,0.3285,14.0735
-43.5,175.5333333,-13.729,0.3285,14.0575
-43.5,175.5666667,-13.714,0.3285,14.0425
-43.5,175.6,-13.698,0.3285,14.0265
-43.46666667,170.4333333,-14.111,0.3285,14.4395
-43.46666667,170.4666667,-14.139,0.3285,14.4675
-43.46666667,170.5,-14.052,0.3285,14.3805
-43.46666667,170.5333333,-14.265,0.3285,14.5935
-43.46666667,170.5666667,-14.546,0.3285,14.8745
-43.46666667,170.6,-14.538,0.3285,14.8665
-43.46666667,170.6333333,-14.379,0.3285,14.7075
-43.46666667,170.6666667,-14.294,0.3285,14.6225
-43.46666667,170.7,-14.193,0.3285,14.5215
-43.46666667,170.7333333,-14.317,0.3285,14.6455
-43.46666667,170.7666667,-14.334,0.3285,14.6625
-43.46666667,170.8,-14.333,0.3285,14.6615
-43.46666667,170.8333333,-14.123,0.3285,14.4515
-43.46666667,170.8666667,-14.216,0.3285,14.5445
-43.46666667,170.9,-14.481,0.3285,14.8095
-43.46666667,170.9333333,-14.464,0.3285,14.7925
-43.46666667,170.9666667,-14.468,0.3285,14.7965
-43.46666667,171,-14.634,0.3285,14.9625
-43.46666667,171.0333333,-14.561,0.3285,14.8895
-43.46666667,171.0666667,-14.363,0.3285,14.6915
-43.46666667,171.1,-14.378,0.3285,14.7065
-43.46666667,171.1333333,-14.179,0.3285,14.5075
-43.46666667,171.1666667,-14.104,0.3285,14.4325
-43.46666667,171.2,-14.173,0.3285,14.5015
-43.46666667,171.2333333,-14.303,0.3285,14.6315
-43.46666667,171.2666667,-14.504,0.3285,14.8325
-43.46666667,171.3,-14.781,0.3285,15.1095
-43.46666667,171.3333333,-14.875,0.3285,15.2035
-43.46666667,171.3666667,-14.66,0.3164,14.9764
-43.46666667,171.4,-14.613,0.3164,14.9294
-43.46666667,171.4333333,-14.491,0.3164,14.8074
-43.46666667,171.4666667,-14.484,0.3163,14.8003
-43.46666667,171.5,-14.444,0.3163,14.7603
-43.46666667,171.5333333,-14.467,0.3163,14.7833
-43.46666667,171.5666667,-14.059,0.3163,14.3753
-43.46666667,171.6,-13.849,0.3162,14.1652
-43.46666667,171.6333333,-13.749,0.3162,14.0652
-43.46666667,171.6666667,-13.712,0.3162,14.0282
-43.46666667,171.7,-13.68,0.3162,13.9962
-43.46666667,171.7333333,-13.665,0.3162,13.9812
-43.46666667,171.7666667,-13.591,0.3162,13.9072
-43.46666667,171.8,-13.518,0.3163,13.8343
-43.46666667,171.8333333,-13.412,0.3163,13.7283
-43.46666667,171.8666667,-13.32,0.3164,13.6364
-43.46666667,171.9,-13.206,0.3165,13.5225
-43.46666667,171.9333333,-13.118,0.3166,13.4346
-43.46666667,171.9666667,-13.019,0.3167,13.3357
-43.46666667,172,-12.941,0.3169,13.2579
-43.46666667,172.0333333,-12.868,0.317,13.185
-43.46666667,172.0666667,-12.808,0.3172,13.1252
